domain,problem,agents,heuristic,recursionLevel,totalTime,initHeuristic,initHeuristicDist,searchTime,expandedStates,expandedStatesGlobal,expandedStatesLocal,searchMessages,heuristicRequestMessages,heuristicReplyMessages,totalMessages,totalBytes,globalSearchTime,localSearchTime,globalHeuristicTime,localHeuristicTime,otherHeuristicTime,searchTimes,globalSearchTimes,localSearchTimes,globalHeuristicTimes,localHeuristicTimes,otherHeuristicTimes,planLength,maxRecursionDepth,planValid,finished
benchmarks/openstacks,benchmarks/openstacks/p10.pddl,2,PPsaFF-sync,-1,1280,{},{manager=79 manufacturer=79},0,699,0,0,555,697,697,1949,281480,0,0,0,0,0,,,,,,,75,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p16.pddl,2,PPsaFF-sync,-1,11949,{},{manager=159 manufacturer=159},0,8519,0,0,7926,8516,8515,24957,6900344,0,0,0,0,0,,,,,,,148,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p17.pddl,2,PPsaFF-sync,-1,8742,{},{manager=159 manufacturer=159},0,5103,0,0,4730,5091,5091,14912,4174152,0,0,0,0,0,,,,,,,150,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p18.pddl,2,PPsaFF-sync,-1,10361,{},{manager=159 manufacturer=159},0,10007,0,0,8899,9996,9996,28891,8173440,0,0,0,0,0,,,,,,,147,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p20.pddl,2,PPsaFF-sync,-1,556269,{},{manager=199 manufacturer=199},0,476477,0,0,451103,166371,166373,783847,262703480,0,0,0,0,0,,,,,,,186,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p01.pddl,2,PPsaFF-sync,-1,241,{},{manager=18 manufacturer=18},0,77,0,0,51,75,75,201,8876,0,0,0,0,0,,,,,,,18,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p02.pddl,2,PPsaFF-sync,-1,229,{},{manager=18 manufacturer=18},0,71,0,0,44,69,69,182,8140,0,0,0,0,0,,,,,,,17,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p03.pddl,2,PPsaFF-sync,-1,231,{},{manager=18 manufacturer=18},0,61,0,0,41,59,59,159,7008,0,0,0,0,0,,,,,,,17,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p04.pddl,2,PPsaFF-sync,-1,705,{},{manager=39 manufacturer=39},0,184,0,0,133,181,181,495,38064,0,0,0,0,0,,,,,,,37,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p05.pddl,2,PPsaFF-sync,-1,704,{},{manager=39 manufacturer=39},0,182,0,0,132,178,179,489,37756,0,0,0,0,0,,,,,,,37,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p06.pddl,2,PPsaFF-sync,-1,689,{},{manager=39 manufacturer=39},0,184,0,0,134,181,181,496,38156,0,0,0,0,0,,,,,,,37,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p07.pddl,2,PPsaFF-sync,-1,882075,{},{manager=55 manufacturer=55},0,7733007,0,0,4266543,6664415,6664355,17595313,1745574516,0,0,0,0,0,,,,,,,60,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p08.pddl,2,PPsaFF-sync,-1,64328,{},{manager=55 manufacturer=55},0,663825,0,0,378060,433131,433131,1244322,125053072,0,0,0,0,0,,,,,,,60,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p09.pddl,2,PPsaFF-sync,-1,144402,{},{manager=55 manufacturer=55},0,1435171,0,0,786358,1110131,1110001,3006490,297719892,0,0,0,0,0,,,,,,,56,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p12.pddl,2,PPsaFF-sync,-1,4578,{},{manager=79 manufacturer=79},0,19776,0,0,13813,9557,9557,32927,4445716,0,0,0,0,0,,,,,,,80,0,true,true
benchmarks/openstacks,benchmarks/openstacks/p17.pddl,2,PPsaFF-sync,-1,4949,{},{manager=159 manufacturer=159},0,2323,0,0,2055,2318,2318,6691,1863524,0,0,0,0,0,,,,,,,145,0,true,true
