problem	agents	FF-h0/totalTimeM	FF-h0/totalTimeV	FF-h0/expandedStatesM	FF-h0/expandedStatesV	FF-h0/totalBytesM	FF-h0/totalBytesV	FF-h0/planLengthM	FF-h0/planLengthV	PPsaFF-sync-h-1/totalTimeM	PPsaFF-sync-h-1/totalTimeV	PPsaFF-sync-h-1/expandedStatesM	PPsaFF-sync-h-1/expandedStatesV	PPsaFF-sync-h-1/totalBytesM	PPsaFF-sync-h-1/totalBytesV	PPsaFF-sync-h-1/planLengthM	PPsaFF-sync-h-1/planLengthV	PPsaFF-glcl-h-1/totalTimeM	PPsaFF-glcl-h-1/totalTimeV	PPsaFF-glcl-h-1/expandedStatesM	PPsaFF-glcl-h-1/expandedStatesV	PPsaFF-glcl-h-1/totalBytesM	PPsaFF-glcl-h-1/totalBytesV	PPsaFF-glcl-h-1/planLengthM	PPsaFF-glcl-h-1/planLengthV
benchmarks/logistics00/probLOGISTICS-11-0.pddl	 5.0	   0.9	0.1	   12.5	14.7	   0.2	0.3	 74.0	9	  1.2	0	   1.4	0.2	   1.2	0.2	 71.0	4	  1.0	0.1	  13.9	5	  0.6	0.2	 75.0	8
benchmarks/logistics00/probLOGISTICS-11-1.pddl	 5.0	   1.0	0.2	   23.8	22.6	   0.4	0.4	 95.0	12	  1.3	0.1	   1.7	1.4	   1.8	0.6	 81.0	5	  1.0	0.1	  11.8	7	  0.6	0.3	 92.0	8
benchmarks/logistics00/probLOGISTICS-12-0.pddl	 5.0	   0.7	0	    2.6	0.5	   0.1	0	 58.0	3	  1.4	0.1	   2.9	0.6	   2.2	0.3	 69.0	6	  0.9	0	   3.5	0.5	  0.2	0	 57.0	3
benchmarks/logistics00/probLOGISTICS-12-1.pddl	 6.0	   1.7	0.7	  119.4	110.6	   2.1	1.9	111.0	14	  1.5	0.1	   3.4	0.9	   3.9	0.7	109.0	6	  2.2	1	 144.2	151.3	  6.0	5.3	105.0	16
benchmarks/logistics00/probLOGISTICS-13-0.pddl	 7.0	  20.0	21	 2071.6	2106.6	  56.2	59.8	138.0	17	  2.1	0.1	   4.2	1.6	   5.6	0.8	114.0	7	  3.2	0.6	 246.2	102.6	  9.9	4.4	109.0	14
benchmarks/logistics00/probLOGISTICS-13-1.pddl	 7.0	   2.4	1.4	  148.2	185.1	   4.1	5	 91.0	14	  2.2	0.2	   6.9	2.6	   8.0	2.2	112.0	12	  2.3	1.3	 105.2	189.5	  4.1	7.6	 94.0	13
benchmarks/logistics00/probLOGISTICS-14-0.pddl	 7.0	   2.2	0.5	  106.9	62.5	   3.4	2.3	 84.0	6	  2.0	0.1	   4.1	1	   3.8	0.6	 95.0	5	  5.1	1.5	 572.6	243	 18.8	7.5	 88.0	5
benchmarks/logistics00/probLOGISTICS-14-1.pddl	 7.0	   9.9	5.4	 1134.3	641.8	  24.5	14.4	116.0	10	  2.0	0.1	   4.1	1.4	   4.5	0.9	106.0	7	  3.5	0.6	 302.5	101.3	 11.1	3.6	105.0	6
benchmarks/logistics00/probLOGISTICS-15-0.pddl	 7.0	   2.8	0.6	  149.9	65.4	   5.1	2.3	117.0	8	  2.4	0.1	   4.8	1.5	   7.8	1.3	129.0	10	  9.3	11.8	 960.7	1289.1	 34.8	41.9	112.0	15
benchmarks/logistics00/probLOGISTICS-15-1.pddl	 7.0	   1.8	0.2	   41.5	20.9	   1.4	0.8	 97.0	5	  3.2	0.5	  11.7	5.4	  12.6	3.9	124.0	9	  1.9	0.8	  51.7	105	  2.1	4.3	100.0	6
benchmarks/logistics00/probLOGISTICS-4-0.pddl	 3.0	   0.2	0	    0.3	0.1	   0.0	0	 28.0	2	  0.3	0	   0.2	0	   0.0	0	 25.0	0	  0.3	0	   0.7	0.7	  0.0	0	 27.0	3
benchmarks/logistics00/probLOGISTICS-5-0.pddl	 3.0	   0.2	0	    0.5	0.1	   0.0	0	 37.0	4	  0.3	0	   0.2	0	   0.1	0	 34.0	2	  0.4	0.1	   1.9	1.3	  0.1	0	 38.0	3
benchmarks/logistics00/probLOGISTICS-6-0.pddl	 3.0	   0.2	0	    0.3	0	   0.0	0	 35.0	3	  0.4	0	   0.3	0	   0.1	0	 30.0	4	  0.3	0	   0.4	0.1	  0.0	0	 34.0	2
benchmarks/logistics00/probLOGISTICS-7-0.pddl	 4.0	   0.4	0	    1.0	0.2	   0.0	0	 51.0	2	  0.8	0	   0.7	0.1	   0.4	0	 44.0	4	  0.6	0	   1.3	0.2	  0.1	0	 51.0	4
benchmarks/logistics00/probLOGISTICS-8-0.pddl	 4.0	   0.6	0	    2.2	0.3	   0.0	0	 39.0	4	  0.9	0	   0.8	0.1	   0.4	0	 45.0	2	  0.8	0	   6.2	1.4	  0.3	0	 41.0	4
benchmarks/logistics00/probLOGISTICS-8-1.pddl	 4.0	   0.8	0.1	    5.9	1.6	   0.1	0	 68.0	8	  0.9	0	   0.7	0.1	   0.6	0.1	 61.0	5	  0.8	0	   6.1	1.5	  0.3	0.1	 70.0	8
benchmarks/logistics00/probLOGISTICS-9-0.pddl	 4.0	   0.6	0.1	    2.8	1.8	   0.0	0	 53.0	8	  0.8	0	   0.6	0.1	   0.3	0	 44.0	5	  0.7	0	   2.2	0.7	  0.1	0	 48.0	4
benchmarks/logistics00/probLOGISTICS-9-1.pddl	 4.0	   0.6	0	    1.9	0.3	   0.0	0	 42.0	5	  0.9	0	   1.2	0.2	   0.6	0.1	 44.0	5	  0.7	0.1	   3.4	1.5	  0.2	0.1	 48.0	8
benchmarks/openstacks/p01.pddl	 2.0	   0.3	0.1	    0.1	0	   0.0	0	 19.0	1	  0.3	0	   0.1	0	   0.0	0	 18.0	0	  0.3	0.1	   0.3	0.1	  0.0	0	 18.0	1
benchmarks/openstacks/p02.pddl	 2.0	   0.2	0	    0.1	0	   0.0	0	 18.0	0	  0.2	0	   0.1	0	   0.0	0	 18.0	0	  0.3	0	   0.3	0.1	  0.0	0	 18.0	1
benchmarks/openstacks/p03.pddl	 2.0	   0.2	0	    0.1	0	   0.0	0	 18.0	1	  0.3	0.1	   0.2	0.3	   0.0	0	 18.0	1	  0.3	0	   0.3	0	  0.0	0	 18.0	1
benchmarks/openstacks/p04.pddl	 2.0	   0.8	0.8	    9.1	24.4	   0.4	1.2	 38.0	2	  0.7	0	   0.2	0	   0.0	0	 37.0	0	  0.7	0	   0.7	0.1	  0.1	0	 36.0	2
benchmarks/openstacks/p05.pddl	 2.0	   0.9	0.9	   11.5	27.9	   0.6	1.3	 39.0	2	  0.7	0	   0.2	0	   0.0	0	 37.0	0	  0.7	0	   0.8	0.2	  0.1	0	 36.0	2
benchmarks/openstacks/p06.pddl	 2.0	   0.8	0.7	    9.2	23.1	   0.4	1.1	 39.0	1	  0.7	0	   0.2	0	   0.0	0	 37.0	0	  0.7	0	   0.8	0.1	  0.1	0	 37.0	2
benchmarks/openstacks/p07.pddl	 2.0	 906.6	--	17194.9	--	1163.6	--	 60.0	--	177.9	270.7	1599.4	2357.3	 342.7	532.6	 58.0	3	185.3	332.6	2435.0	4174.9	367.6	636	 57.0	3
benchmarks/openstacks/p08.pddl	 2.0	1051.8	--	19646.4	--	1329.5	--	 60.0	--	 41.9	45.6	 424.8	455.6	  82.1	92.3	 56.0	3	 31.1	88.2	 426.7	1233.3	 62.7	181.1	 55.0	2
benchmarks/openstacks/p09.pddl	 2.0	 989.0	111.6	18807.1	2345.1	1274.2	160.6	 60.0	0	124.9	100.9	1200.3	955.1	 247.1	200.8	 57.0	3	 32.9	95.2	 463.2	1374.9	 68.6	203.7	 55.0	2
benchmarks/openstacks/p13.pddl	 2.0	   2.3	0.2	    2.6	1	   0.6	0.2	112.0	6	  2.9	--	   2.0	--	   1.3	--	113.0	--	  3.2	0.6	   4.3	1.6	  1.4	0.5	110.0	3
benchmarks/openstacks/p14.pddl	 2.0	   2.2	0.3	    2.3	1	   0.5	0.2	113.0	3	  3.2	0.7	   2.4	1.1	   1.5	0.7	110.0	1	  3.4	0.7	   5.4	2.3	  1.7	0.7	108.0	4
