problem	agents	FF-h0/totalTimeM	FF-h0/totalTimeV	FF-h0/expandedStatesM	FF-h0/expandedStatesV	FF-h0/totalBytesM	FF-h0/totalBytesV	FF-h0/planLengthM	FF-h0/planLengthV	PPsaFF-sync-h-1/totalTimeM	PPsaFF-sync-h-1/totalTimeV	PPsaFF-sync-h-1/expandedStatesM	PPsaFF-sync-h-1/expandedStatesV	PPsaFF-sync-h-1/totalBytesM	PPsaFF-sync-h-1/totalBytesV	PPsaFF-sync-h-1/planLengthM	PPsaFF-sync-h-1/planLengthV	PPsaFF-glcl-h-1/totalTimeM	PPsaFF-glcl-h-1/totalTimeV	PPsaFF-glcl-h-1/expandedStatesM	PPsaFF-glcl-h-1/expandedStatesV	PPsaFF-glcl-h-1/totalBytesM	PPsaFF-glcl-h-1/totalBytesV	PPsaFF-glcl-h-1/planLengthM	PPsaFF-glcl-h-1/planLengthV
benchmarks/satellites/p17-pfile17.pddl	12.0	  21.5	0.8	   14.8	7.8	   0.9	0.6	101.0	47	 23.8	1.4	  19.2	6.2	  36.5	13	 99.0	19	 21.1	0.2	  13.1	3.3	  0.8	0.2	 75.0	12
benchmarks/satellites/p18-pfile18.pddl	 5.0	   4.8	0.2	    5.5	0.9	   0.0	0	118.0	32	  5.6	0.2	  11.4	3.7	   7.2	2.5	 75.0	27	  5.1	0.2	   9.9	3.3	  2.0	0.7	 64.0	19
benchmarks/satellites/p19-pfile19.pddl	 5.0	   5.6	0.2	   17.9	4.7	   1.0	0.3	238.0	66	  8.7	0.8	  34.0	7.7	  41.0	9	245.0	63	  6.1	0.3	  20.8	6.4	  6.4	2.4	151.0	50
benchmarks/satellites/p20-pfile20.pddl	 5.0	   6.1	0.3	   19.7	2.9	   1.4	0.3	214.0	67	 12.7	4.3	  58.0	36.5	  72.7	35.9	256.0	57	  7.3	0.4	  31.7	7.8	 13.4	3.5	144.0	20
benchmarks/woodworking08/p01.pddl	 7.0	   0.6	0.1	    0.2	0	   0.0	0	  6.0	1	  0.7	0	   0.1	0	   0.0	0	  7.0	1	  0.7	0	   0.2	0	  0.0	0	  6.0	1
benchmarks/woodworking08/p02.pddl	 7.0	   1.9	0.3	   12.1	4.4	   1.6	0.6	 15.0	1	  1.5	0.1	   0.6	0.3	   0.4	0.2	 17.0	2	  1.6	0.2	   3.3	1.4	  0.4	0.2	 16.0	2
benchmarks/woodworking08/p11.pddl	 7.0	   0.5	0	    0.1	0	   0.0	0	  5.0	0	  0.6	0	   0.0	0	   0.0	0	  5.0	0	  0.7	0	   0.2	0.1	  0.0	0	  5.0	0
benchmarks/woodworking08/p21.pddl	 7.0	   0.7	0.2	    3.0	2.7	   0.2	0.2	 11.0	2	  0.9	0.2	   0.9	0.6	   0.5	0.4	 13.0	1	  0.7	0	   0.3	0.2	  0.0	0	  9.0	2
benchmarks/woodworking08/p22.pddl	 7.0	   2.3	0.1	    5.2	1.6	   0.9	0.3	 13.0	0	  2.2	0.1	   0.3	0	   0.3	0	 14.0	1	  2.2	0.1	   1.7	0.7	  0.3	0.1	 14.0	1
benchmarks/zenotravel/pfile10.pddl	 3.0	   1.7	0.1	    1.9	0.4	   0.1	0	 42.0	4	  3.2	0.8	  13.4	11.3	   3.5	2.8	 93.0	12	  2.0	0.1	   3.4	1.4	  0.3	0.1	 43.0	5
benchmarks/zenotravel/pfile12.pddl	 3.0	   2.2	0	    1.2	0.2	   0.0	0	 42.0	7	  3.0	0.5	   5.4	5.8	   1.4	1.4	 71.0	16	  2.5	0.2	   2.3	0.8	  0.2	0.1	 35.0	4
benchmarks/zenotravel/pfile13.pddl	 3.0	   2.3	0	    3.1	0.5	   0.1	0	 53.0	4	  4.1	1.6	  16.1	18.2	   4.3	4.5	 92.0	19	  2.7	0.1	   4.4	1.4	  0.5	0.2	 51.0	4
benchmarks/zenotravel/pfile14.pddl	 5.0	  24.4	0.2	    7.1	0.9	   0.4	0	 54.0	5	360.5	--	1924.7	--	 775.0	--	228.0	--	 25.2	0.6	  10.1	2.7	  0.6	0.1	 59.0	4
benchmarks/zenotravel/pfile15.pddl	 5.0	  46.6	0.5	    7.1	0.9	   0.2	0	 90.0	29	 76.8	31.2	 139.6	154.3	  62.7	66.3	155.0	35	 49.4	2.5	   8.4	1.8	  0.9	0.3	 68.0	6
benchmarks/zenotravel/pfile16.pddl	 5.0	  83.8	1	   13.8	3.6	   0.8	0.2	 76.0	5	165.5	60.9	 283.8	219.8	 131.8	100.3	224.0	22	 89.1	4.3	  18.1	5.8	  1.5	0.5	 80.0	6
benchmarks/zenotravel/pfile17.pddl	 5.0	 152.4	2.9	   35.8	10.9	   3.3	1	111.0	5	658.3	198.2	 881.2	236.5	 489.4	148.8	316.0	66	159.9	14.2	  22.9	6.4	  2.0	0.6	107.0	6
benchmarks/zenotravel/pfile18.pddl	 5.0	 226.3	1.8	   17.2	3.8	   0.8	0.2	115.0	21	379.5	106.6	 257.0	177.4	 143.4	95.1	250.0	24	240.9	11.7	  16.2	2.8	  1.3	0.5	109.0	13
benchmarks/zenotravel/pfile19.pddl	 5.0	 353.9	9	   40.6	21.7	   3.3	1.9	134.0	10	697.6	150.4	 339.2	138.1	 245.6	89.9	357.0	48	368.7	14.1	  35.2	13.8	  3.4	1.3	137.0	9
benchmarks/zenotravel/pfile1.pddl	 1.0	   0.2	0.1	    0.0	0	   0.0	0	  1.0	0	  0.2	0.2	   0.0	0	   0.0	0	  1.0	0	  0.2	0.1	   0.0	0	  0.0	0	  1.0	0
benchmarks/zenotravel/pfile20.pddl	 5.0	 486.4	3.4	   22.0	3.9	   0.8	0.2	224.0	53	649.7	74.2	 145.2	73.2	 104.7	43.7	336.0	23	540.4	52.8	  26.0	4.7	  2.9	1.7	164.0	14
benchmarks/zenotravel/pfile2.pddl	 1.0	   0.2	0	    0.0	0	   0.0	0	  9.0	0	  0.2	0	   0.0	0	   0.0	0	  9.0	0	  0.2	0	   0.0	0	  0.0	0	  9.0	0
benchmarks/zenotravel/pfile3.pddl	 2.0	   0.5	0	    0.3	0.1	   0.0	0	 13.0	4	  0.9	0.1	   0.9	0.4	   0.1	0	 18.0	3	  0.8	0.1	   0.7	0.2	  0.0	0	 12.0	3
benchmarks/zenotravel/pfile4.pddl	 2.0	   0.5	0	    0.5	0.1	   0.0	0	 18.0	3	  1.2	0.1	   1.6	0.4	   0.2	0	 22.0	2	  0.8	0.1	   0.6	0.3	  0.0	0	 16.0	1
benchmarks/zenotravel/pfile5.pddl	 2.0	   0.6	0	    0.3	0.1	   0.0	0	 40.0	11	  0.9	0.1	   0.6	0.3	   0.1	0	 39.0	14	  0.9	0	   1.1	0.3	  0.1	0	 26.0	4
benchmarks/zenotravel/pfile6.pddl	 2.0	   0.7	0	    0.4	0.1	   0.0	0	 28.0	9	  1.1	0.1	   1.6	0.5	   0.2	0.1	 42.0	10	  1.0	0	   1.5	0.5	  0.1	0	 26.0	5
benchmarks/zenotravel/pfile7.pddl	 2.0	   0.7	0	    0.8	0.2	   0.0	0	 30.0	5	  1.1	0.1	   1.7	0.7	   0.2	0.1	 46.0	8	  1.0	0.1	   2.2	0.7	  0.2	0.1	 33.0	9
benchmarks/zenotravel/pfile8.pddl	 3.0	   1.4	0	    0.6	0.1	   0.0	0	 20.0	2	  2.4	0.7	   8.1	8.1	   1.6	1.7	 45.0	11	  1.5	0.1	   0.9	0.5	  0.1	0	 21.0	4
benchmarks/zenotravel/pfile9.pddl	 3.0	   1.6	0	    0.9	0.2	   0.0	0	 46.0	11	  2.2	0.2	   3.3	1.6	   0.8	0.4	 63.0	12	  1.8	0.1	   2.1	0.6	  0.2	0.1	 32.0	3
