domain,problem,heuristic,recursionLevel,searchTimeM,planLengthM,expandedStatesM,expandedStatesGlobalM,expandedStatesLocalM,searchMessagesM,heuristicRequestMessagesM,heuristicReplyMessagesM,totalMessagesM,globalSearchTimeM,localSearchTimeM,globalHeuristicTimeM,localHeuristicTimeM,otherHeuristicTimeM
benchmarks/depot,benchmarks/depot/pfile1.pddl,PPsaFF-glcl,-1,    359.2, 13.0,    149.3,    33.3,    115.8,     30.4,    153.0,    151.9,     335.3,     1.22,    8.1,    120.9,    179.9,    37.7
benchmarks/depot,benchmarks/depot/pfile1.pddl,PPsaFF-sync,-1,    445.9, 12.6,    124.9,     0.0,      0.0,     32.4,    418.1,    418.4,     869.0,   237.00,    0.0,    297.3,      0.0,    84.3
benchmarks/depot,benchmarks/depot/pfile2.pddl,FF, 0,   1616.2, 26.8,    867.7,     0.0,      0.0,    251.8,      0.0,      0.0,     251.8,    39.60,    0.0,   1794.4,      0.0,    12.7
benchmarks/depot,benchmarks/depot/pfile2.pddl,PPsaFF-glcl,-1,    543.4, 24.7,    562.3,    46.9,    515.2,    165.2,    446.9,    446.8,    1058.9,     1.78,   20.3,    105.4,    313.0,    28.6
benchmarks/depot,benchmarks/depot/pfile2.pddl,PPsaFF-sync,-1,    784.8, 22.2,    368.0,     0.0,      0.0,    111.8,   2051.2,   2051.5,    4214.5,    61.83,    0.0,    429.0,      0.0,   160.8
benchmarks/depot,benchmarks/depot/pfile3.pddl,FF, 0,   2588.2, 72.6,   7398.2,     0.0,      0.0,   2352.3,      0.0,      0.0,    2352.3,   132.50,    0.0,   2411.6,      0.0,    16.3
benchmarks/depot,benchmarks/depot/pfile3.pddl,PPsaFF-glcl,-1,   1481.5, 90.5,   4363.0,   132.4,   4231.2,   1350.2,   1477.4,   1477.6,    4305.2,     2.62,   69.8,    181.4,   1539.2,    46.8
benchmarks/depot,benchmarks/depot/pfile3.pddl,PPsaFF-sync,-1,   4768.3, 98.7,   3799.8,     0.0,      0.0,   1303.0,  35525.3,  35521.2,   72349.5,   336.33,    0.0,   2347.7,      0.0,  1066.0
benchmarks/depot,benchmarks/depot/pfile4.pddl,FF, 0,   9231.2,104.3,  34392.2,     0.0,      0.0,  12088.8,      0.0,      0.0,   12088.8,   218.10,    0.0,   9495.0,      0.0,    40.6
benchmarks/depot,benchmarks/depot/pfile4.pddl,PPsaFF-glcl,-1,   4339.0,124.6,  17158.2,   574.8,  16582.4,   5615.8,   5708.0,   5708.2,   17032.0,     4.88,  135.5,    306.5,   3845.4,    46.4
benchmarks/depot,benchmarks/depot/pfile4.pddl,PPsaFF-sync,-1,  30485.2,115.3,  26859.7,     0.0,      0.0,   8636.8, 206926.0, 206938.2,  422501.0,  2348.33,    0.0,  14543.3,      0.0,  6836.7
benchmarks/depot,benchmarks/depot/pfile5.pddl,FF, 0,  32006.0,222.2, 188535.0,     0.0,      0.0,  59013.0,      0.0,      0.0,   59013.0,   857.70,    0.0,  56884.7,      0.0,   131.1
benchmarks/depot,benchmarks/depot/pfile5.pddl,PPsaFF-glcl,-1,  29076.0,317.6, 114300.2,  3202.4, 111098.9,  36685.8,  47948.9,  47951.1,  132585.8,    14.38,  516.0,   1308.9,  27036.1,   167.0
benchmarks/depot,benchmarks/depot/pfile5.pddl,PPsaFF-sync,-1, 197039.5,294.5,  85068.2,     0.0,      0.0,  30365.8,1270140.2,1270302.3, 2570808.3,  8937.00,    0.0,  87160.2,      0.0, 47092.2
benchmarks/depot,benchmarks/depot/pfile7.pddl,FF, 0,   4775.8, 63.7,  38291.3,     0.0,      0.0,  12650.6,      0.0,      0.0,   12650.6,   220.30,    0.0,   7713.8,      0.0,    38.8
