domain,problem,heuristic,recursionLevel,searchTimeM,planLengthM,expandedStatesM,expandedStatesGlobalM,expandedStatesLocalM,searchMessagesM,heuristicRequestMessagesM,heuristicReplyMessagesM,totalMessagesM,globalSearchTimeM,localSearchTimeM,globalHeuristicTimeM,localHeuristicTimeM,otherHeuristicTimeM,domainShort,problemShort,ratioLE,ratioGE,ratioGL,ratioLG,heurTimePerStateL,heurTimePerStateG,heurTimePerStateGO,heurRatio,plotchar,color
benchmarks/rovers,benchmarks/rovers/p15.pddl,PPsaFF-glcl,-1,    823.7, 53.7,   3440.3,   878.3,   2564.4,    268.6,   2389.0,   2389.5,   5047.1,  13.90,   55.4,   171.4,    339.0,   12.8,rovers,rovers/p15.pddl,0.75,0.255298,0.342497,    2.92, 0.132, 0.195, 0.210,  1.59, 7.0,black
benchmarks/rovers,benchmarks/rovers/p16.pddl,PPsaFF-glcl,-1,    967.3, 53.9,   4865.5,   938.9,   3928.5,    492.4,   2029.8,   2029.8,   4552.0,  15.50,   76.7,   196.0,    562.1,   16.9,rovers,rovers/p16.pddl,0.81,0.192971,0.238997,    4.18, 0.143, 0.209, 0.227,  1.58, 7.0,black
benchmarks/rovers,benchmarks/rovers/p17.pddl,PPsaFF-glcl,-1,   1996.4, 75.3,   6692.9,   735.7,   5959.3,    324.5,   2470.3,   2470.5,   5265.3,  11.30,  126.4,   226.1,   1035.1,   26.6,rovers,rovers/p17.pddl,0.89,0.109922,0.123454,    8.10, 0.174, 0.307, 0.343,  1.98, 7.0,black
benchmarks/rovers,benchmarks/rovers/p18.pddl,PPsaFF-glcl,-1,   3897.3, 63.4,  24076.1,  3534.7,  20546.0,   1598.2,  11486.2,  11484.0,  24568.4,  33.00,  227.5,   681.2,   2797.3,   44.9,rovers,rovers/p18.pddl,0.85,0.146814,0.172038,    5.81, 0.136, 0.193, 0.205,  1.51, 7.0,black
benchmarks/rovers,benchmarks/rovers/p19.pddl,PPsaFF-glcl,-1,   8082.7, 95.3,  53109.8,  8214.9,  44910.0,   1632.1,  19928.6,  19924.6,  41485.3,  45.30,  389.1,  1063.5,   4635.8,   95.4,rovers,rovers/p19.pddl,0.85,0.154678,0.182919,    5.47, 0.103, 0.129, 0.141,  1.37, 7.0,black
benchmarks/rovers,benchmarks/rovers/p20.pddl,PPsaFF-glcl,-1,   6370.8,124.8,  16602.9,  1604.8,  15004.9,    572.3,   8481.9,   8479.3,  17533.5,  14.20,  214.1,   663.2,   3242.3,   39.3,rovers,rovers/p20.pddl,0.90,0.096658,0.106952,    9.35, 0.216, 0.413, 0.438,  2.03, 7.0,black
benchmarks/satellites,benchmarks/satellites/p03-pfile3.pddl,PPsaFF-glcl,-1,    236.6, 19.7,    408.1,   207.5,    200.9,    130.4,    207.9,    207.9,    546.2,  12.60,   10.4,    97.3,    138.1,    1.8,satellites,satellites/p03-pfile3.pddl,0.49,0.508454,1.032852,    0.97, 0.687, 0.469, 0.478,  0.69, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p04-pfile4.pddl,PPsaFF-glcl,-1,    460.0, 28.1,    940.2,   466.8,    473.5,    330.2,    465.7,    465.7,   1261.6,  16.20,   14.8,   143.3,    213.2,    6.0,satellites,satellites/p04-pfile4.pddl,0.50,0.496490,0.985850,    1.01, 0.450, 0.307, 0.320,  0.71, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p05-pfile5.pddl,PPsaFF-glcl,-1,    651.9, 23.2,   1847.3,   550.8,   1297.4,    903.2,   1080.5,   1079.0,   3062.7,  16.00,   37.0,   140.8,    428.4,    8.8,satellites,satellites/p05-pfile5.pddl,0.70,0.298165,0.424541,    2.36, 0.330, 0.256, 0.272,  0.82, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p06-pfile6.pddl,PPsaFF-glcl,-1,    504.0, 23.9,   1290.0,   531.8,    758.5,     18.9,    647.9,    647.4,   1314.2,  29.00,   48.2,   155.0,    327.0,   14.1,satellites,satellites/p06-pfile6.pddl,0.59,0.412248,0.701121,    1.43, 0.431, 0.291, 0.318,  0.74, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p07-pfile7.pddl,PPsaFF-glcl,-1,    666.4, 34.8,   2801.6,   659.1,   2143.1,    890.1,   1477.4,   1477.5,   3845.0,  16.00,   66.0,   148.2,    477.5,   14.0,satellites,satellites/p07-pfile7.pddl,0.76,0.235258,0.307545,    3.25, 0.223, 0.225, 0.246,  1.10, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p08-pfile8.pddl,PPsaFF-glcl,-1,    724.5, 36.9,   4058.6,  1514.0,   2546.0,     41.7,   4119.2,   4118.8,   8279.7,  38.10,   60.3,   252.7,    327.8,   19.9,satellites,satellites/p08-pfile8.pddl,0.63,0.373035,0.594658,    1.68, 0.129, 0.167, 0.180,  1.40, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p09-pfile9.pddl,PPsaFF-glcl,-1,   1252.8, 44.3,   4600.1,   502.3,   4098.4,   1982.5,   2010.5,   2010.3,   6003.3,  14.10,  190.9,   170.8,    978.1,   42.1,satellites,satellites/p09-pfile9.pddl,0.89,0.109193,0.122560,    8.16, 0.239, 0.340, 0.424,  1.78, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p10-pfile10.pddl,PPsaFF-glcl,-1,   1670.3, 43.1,   5261.1,  1398.9,   3863.9,    494.1,   5152.4,   5151.8,  10798.3,  55.50,  156.7,   343.4,    667.6,   41.1,satellites,satellites/p10-pfile10.pddl,0.73,0.265895,0.362044,    2.76, 0.173, 0.245, 0.275,  1.59, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p11-pfile11.pddl,PPsaFF-glcl,-1,   2498.7, 64.6,   7363.0,   868.2,   6496.5,   3205.3,   3381.9,   3382.0,   9969.2,  22.00,  209.9,   268.4,   1889.0,   49.1,satellites,satellites/p11-pfile11.pddl,0.88,0.117914,0.133641,    7.48, 0.291, 0.309, 0.366,  1.26, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p12-pfile12.pddl,PPsaFF-glcl,-1,   2182.0, 53.6,  10868.0,  3525.6,   7344.9,     82.7,  12741.1,  12739.3,  25563.1, 113.70,  218.4,   658.6,   1810.6,   66.0,satellites,satellites/p12-pfile12.pddl,0.68,0.324402,0.480007,    2.08, 0.247, 0.187, 0.206,  0.83, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p13-pfile13.pddl,PPsaFF-glcl,-1,   8303.4, 85.6,  49318.3,  4537.2,  44790.0,  23696.6,  18150.3,  18142.4,  59989.3,  47.60,  624.5,   912.7,   6408.4,  202.7,satellites,satellites/p13-pfile13.pddl,0.91,0.091998,0.101299,    9.87, 0.143, 0.201, 0.246,  1.72, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p14-pfile14.pddl,PPsaFF-glcl,-1,   2764.3, 56.2,   6193.5,   356.0,   5837.8,   2461.6,   1781.8,   1781.5,   6024.9,  10.80,  207.4,   220.5,   2060.3,   54.2,satellites,satellites/p14-pfile14.pddl,0.94,0.057480,0.060982,   16.40, 0.353, 0.619, 0.772,  2.19, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p15-pfile15.pddl,PPsaFF-glcl,-1,  13075.0,107.1,  26693.5,   141.4,  26554.9,  16856.4,   1000.4,   1000.0,  18856.8,   2.50,  472.5,  2338.9,   5626.9, 1031.6,satellites,satellites/p15-pfile15.pddl,0.99,0.005297,0.005325,  187.80, 0.212,16.541,23.837,112.49, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p16-pfile16.pddl,PPsaFF-glcl,-1,   7382.8, 85.1,  15223.9,   222.6,  14992.2,   5606.9,   1800.5,   1800.2,   9207.6,   4.80,  763.3,   457.1,   4214.2,  156.4,satellites,satellites/p16-pfile16.pddl,0.98,0.014622,0.014848,   67.35, 0.281, 2.053, 2.756,  9.80, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p17-pfile17.pddl,PPsaFF-glcl,-1,   7084.3, 72.7,  11675.7,   131.0,  11552.6,   2267.1,    852.4,    852.6,   3972.1,   7.30,  623.0,  1086.2,   3806.1,  474.0,satellites,satellites/p17-pfile17.pddl,0.99,0.011220,0.011339,   88.19, 0.329, 8.292,11.910, 36.15, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p18-pfile18.pddl,PPsaFF-glcl,-1,   3682.0, 51.5,  14830.5,  5480.5,   9355.6,     61.8,  17415.3,  17404.3,  34881.4, 134.60,  286.5,   706.8,   1821.3,   93.4,satellites,satellites/p18-pfile18.pddl,0.63,0.369542,0.585799,    1.71, 0.195, 0.129, 0.146,  0.75, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p19-pfile19.pddl,PPsaFF-glcl,-1,   5779.3,113.4,  29142.4,  6119.0,  23029.5,   4527.1,  24136.2,  24128.3,  52791.6,  55.60,  385.3,   923.2,   3704.8,  124.0,satellites,satellites/p19-pfile19.pddl,0.79,0.209969,0.265703,    3.76, 0.161, 0.151, 0.171,  1.06, 8.0,gray50
benchmarks/satellites,benchmarks/satellites/p20-pfile20.pddl,PPsaFF-glcl,-1,   8079.9,124.7,  38061.4,  9043.2,  29025.4,   4439.3,  34830.3,  34819.5,  74089.1,  87.50,  458.6,  1576.3,   5789.5,  129.4,satellites,satellites/p20-pfile20.pddl,0.76,0.237595,0.311562,    3.21, 0.199, 0.174, 0.189,  0.95, 8.0,gray50
benchmarks/woodworking08,benchmarks/woodworking08/p01.pddl,PPsaFF-glcl,-1,    407.8,  6.2,    187.5,    12.5,    175.0,    109.0,     81.5,     76.0,    266.5,   0.75,   10.5,   138.0,    779.2,   12.2,woodworking08,woodworking08/p01.pddl,0.93,0.066667,0.071429,   14.00, 4.453,11.040,12.016,  2.70, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p02.pddl,PPsaFF-glcl,-1,   2210.0, 15.2,   2719.5,    31.2,   2689.5,   1969.5,    166.2,    166.5,   2302.2,   0.75,   77.8,   246.8,   1713.0,   43.0,woodworking08,woodworking08/p02.pddl,0.99,0.011473,0.011601,   86.20, 0.637, 7.910, 9.288, 14.58, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p03.pddl,PPsaFF-glcl,-1,   6571.7, 25.7,  12772.7,    33.7,  12738.7,  11140.7,    203.7,    203.3,  11547.7,   1.33,  132.0,   592.3,   7957.0,   19.7,woodworking08,woodworking08/p03.pddl,1.00,0.002638,0.002645,  378.00, 0.625,17.576,18.160, 29.07, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p04.pddl,PPsaFF-glcl,-1, 169168.0, 52.0, 285284.0, 55513.0, 229788.0, 198646.0,    311.0,    309.0, 199266.0, 260.00, 1683.0, 67577.0, 268927.0,  338.0,woodworking08,woodworking08/p04.pddl,0.81,0.194589,0.241584,    4.14, 1.170, 1.217, 1.223,  1.05, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p11.pddl,PPsaFF-glcl,-1,    926.8,  5.0,    124.0,    14.2,    110.0,     63.5,     26.5,     25.5,    115.5,   1.00,    8.5,   180.0,    526.0,   47.5,woodworking08,woodworking08/p11.pddl,0.89,0.114516,0.129091,    7.75, 4.782,12.676,16.021,  3.35, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p12.pddl,PPsaFF-glcl,-1,  30431.0, 14.0, 115644.0, 33305.0,  82365.7,  41293.0,  17834.3,  17834.0,  76961.3, 100.67,  624.3,  8256.7,  18421.0,  933.3,woodworking08,woodworking08/p12.pddl,0.71,0.287996,0.404355,    2.47, 0.224, 0.248, 0.276,  1.23, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p14.pddl,PPsaFF-glcl,-1,  89645.3, 33.3,  60879.7, 11990.7,  48892.7,  41278.3,    207.0,    205.7,  41691.0,  62.33,  516.3, 25287.0, 116396.7,   62.7,woodworking08,woodworking08/p14.pddl,0.80,0.196957,0.245245,    4.08, 2.381, 2.109, 2.114,  0.89, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p16.pddl,PPsaFF-glcl,-1,1754649.0, 54.0, 487495.0,    46.0, 487451.0, 458120.0,    288.0,    285.0, 458693.0,   1.00, 6120.0,  1628.0,2881590.0,  802.0,woodworking08,woodworking08/p16.pddl,1.00,0.000094,0.000094,10596.76, 5.912,35.391,52.826,  8.94, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p21.pddl,PPsaFF-glcl,-1,   1431.5, 11.8,   4672.0,   380.5,   4292.0,   2453.8,   1088.5,   1085.0,   4627.2,   3.75,  116.0,   231.5,    837.8,   71.5,woodworking08,woodworking08/p21.pddl,0.92,0.081443,0.088653,   11.28, 0.195, 0.608, 0.796,  4.08, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p22.pddl,PPsaFF-glcl,-1,   1161.5, 13.8,   1865.0,    26.8,   1838.2,   1334.0,    176.2,    174.8,   1685.0,   1.00,   58.0,   281.8,   1584.0,   11.8,woodworking08,woodworking08/p22.pddl,0.99,0.014370,0.014579,   68.59, 0.862,10.515,10.955, 12.71, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p23.pddl,PPsaFF-glcl,-1,   8759.0, 25.0,  28480.0,  2025.0,  26453.0,  22931.0,    190.0,    191.0,  23312.0,   9.00,  217.0,  1568.0,  12962.0,   40.0,woodworking08,woodworking08/p23.pddl,0.93,0.071103,0.076551,   13.06, 0.490, 0.774, 0.794,  1.62, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p24.pddl,PPsaFF-glcl,-1, 240051.0, 37.0, 232123.0,    49.0, 232078.0, 209544.0,    297.0,    296.0, 210137.0,   2.00, 2074.0,  1051.0, 455288.0,  331.0,woodworking08,woodworking08/p24.pddl,1.00,0.000211,0.000211, 4736.29, 1.962,21.449,28.204, 14.38, 9.0,lightsalmon4
benchmarks/woodworking08,benchmarks/woodworking08/p26.pddl,PPsaFF-glcl,-1,1717977.5, 63.5, 473340.0,105346.5, 367998.0, 352685.5,    281.5,    281.0, 353248.0, 700.50, 4847.5,590300.0,1968274.5,  703.5,woodworking08,woodworking08/p26.pddl,0.78,0.222560,0.286269,    3.49, 5.349, 5.603, 5.610,  1.05, 9.0,lightsalmon4
benchmarks/zenotravel,benchmarks/zenotravel/pfile10.pddl,PPsaFF-glcl,-1,    565.7, 43.0,   3132.0,   520.3,   2613.6,   1697.9,   1628.1,   1628.7,   4954.7,  10.20,   40.6,   112.4,    416.4,    9.4,zenotravel,zenotravel/pfile10.pddl,0.83,0.166124,0.199074,    5.02, 0.159, 0.216, 0.234,  1.47,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile12.pddl,PPsaFF-glcl,-1,    943.7, 39.4,   3718.0,  1123.0,   2596.2,   1230.7,   2994.8,   2995.6,   7221.1,  20.70,   37.9,   225.8,    460.2,    9.7,zenotravel,zenotravel/pfile12.pddl,0.70,0.302044,0.432555,    2.31, 0.177, 0.201, 0.210,  1.18,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile13.pddl,PPsaFF-glcl,-1,   1032.6, 50.3,   5515.5,  1076.9,   4440.5,   2643.6,   4155.8,   4156.3,  10955.7,  11.80,   58.3,   225.1,    756.7,   11.2,zenotravel,zenotravel/pfile13.pddl,0.81,0.195250,0.242518,    4.12, 0.170, 0.209, 0.219,  1.29,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile14.pddl,PPsaFF-glcl,-1,   3162.9, 55.0,   7448.9,   179.2,   7267.6,   4352.0,   1137.0,   1136.9,   6625.9,   7.20,  124.8,   163.8,   2256.6,   23.4,zenotravel,zenotravel/pfile14.pddl,0.98,0.024057,0.024657,   40.56, 0.311, 0.914, 1.045,  3.36,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile15.pddl,PPsaFF-glcl,-1,   2807.6, 64.0,   8943.6,  1101.8,   7842.1,   2507.9,   5314.8,   5314.5,  13137.2,  14.90,   98.4,   463.7,   2725.3,   17.7,zenotravel,zenotravel/pfile15.pddl,0.88,0.123194,0.140498,    7.12, 0.348, 0.421, 0.437,  1.26,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile16.pddl,PPsaFF-glcl,-1,   5794.7, 80.2,  15599.7,   611.3,  14988.1,   7746.3,   3008.2,   3008.2,  13762.7,   5.20,  142.5,   429.7,   6298.2,   25.1,zenotravel,zenotravel/pfile16.pddl,0.96,0.039187,0.040786,   24.52, 0.420, 0.703, 0.744,  1.77,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile17.pddl,PPsaFF-glcl,-1,  12636.4,112.1,  24830.6,    77.0,  24753.6,  16857.3,    506.6,    505.8,  17869.7,   2.90,  192.7,   279.1,  16584.5,   32.3,zenotravel,zenotravel/pfile17.pddl,1.00,0.003101,0.003111,  321.48, 0.670, 3.625, 4.044,  6.04,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile18.pddl,PPsaFF-glcl,-1,  15458.0,110.3,  18534.6,   583.6,  17952.1,   6702.9,   5551.7,   5551.2,  17805.8,   3.10,  174.0,   716.7,  15190.0,   28.9,zenotravel,zenotravel/pfile18.pddl,0.97,0.031487,0.032509,   30.76, 0.846, 1.228, 1.278,  1.51,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile19.pddl,PPsaFF-glcl,-1,  45441.4,131.9,  37539.8,   222.5,  37318.4,  20672.3,   3503.8,   3504.5,  27680.6,   1.90,  316.4,   575.3,  50914.9,   63.4,zenotravel,zenotravel/pfile19.pddl,0.99,0.005927,0.005962,  167.72, 1.364, 2.586, 2.871,  2.10,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile20.pddl,PPsaFF-glcl,-1,  56580.3,155.2,  29927.6,  3780.8,  26148.3,   7297.1,  17430.2,  17429.8,  42157.1,  48.90,  306.8,  5485.9,  49560.6,   52.1,zenotravel,zenotravel/pfile20.pddl,0.87,0.126332,0.144591,    6.92, 1.895, 1.451, 1.465,  0.77,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile3.pddl,PPsaFF-glcl,-1,    416.8, 15.2,    907.8,   403.3,    504.9,    514.2,    622.0,    621.6,   1757.8,  13.40,   15.3,   129.8,    234.8,    4.2,zenotravel,zenotravel/pfile3.pddl,0.56,0.444261,0.798772,    1.25, 0.465, 0.322, 0.332,  0.71,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile4.pddl,PPsaFF-glcl,-1,    398.8, 16.1,    643.7,   294.3,    349.7,    377.1,    418.8,    418.5,   1214.4,  11.80,   13.6,   148.5,    254.7,    5.1,zenotravel,zenotravel/pfile4.pddl,0.54,0.457201,0.841578,    1.19, 0.728, 0.505, 0.522,  0.72,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile5.pddl,PPsaFF-glcl,-1,    478.1, 28.6,   1169.2,   625.8,    543.7,    379.3,    940.7,    941.0,   2261.0,  20.90,   13.5,   110.5,    133.6,    5.9,zenotravel,zenotravel/pfile5.pddl,0.47,0.535238,1.151002,    0.87, 0.246, 0.177, 0.186,  0.76,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile6.pddl,PPsaFF-glcl,-1,    684.0, 32.2,   1753.9,   906.0,    848.5,    716.5,   1404.6,   1404.4,   3525.5,  26.00,   16.4,   173.7,    189.4,    7.3,zenotravel,zenotravel/pfile6.pddl,0.48,0.516563,1.067767,    0.94, 0.223, 0.192, 0.200,  0.89,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile7.pddl,PPsaFF-glcl,-1,    816.6, 41.3,   2466.1,  1157.6,   1309.3,   1404.4,   1965.3,   1965.4,   5335.1,  22.00,   21.0,   165.2,    239.2,   15.3,zenotravel,zenotravel/pfile7.pddl,0.53,0.469405,0.884137,    1.13, 0.183, 0.143, 0.156,  0.85,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile8.pddl,PPsaFF-glcl,-1,    261.6, 21.3,    846.4,   132.1,    714.5,    428.0,    450.8,    450.7,   1329.5,   3.10,   42.9,    42.1,    191.8,    5.1,zenotravel,zenotravel/pfile8.pddl,0.84,0.156073,0.184885,    5.41, 0.268, 0.319, 0.357,  1.33,10.0,darkgoldenrod1
benchmarks/zenotravel,benchmarks/zenotravel/pfile9.pddl,PPsaFF-glcl,-1,    654.5, 34.0,   2671.8,   792.6,   1880.1,    843.8,   2232.4,   2232.2,   5308.4,  14.20,   34.8,   165.4,    287.3,    8.7,zenotravel,zenotravel/pfile9.pddl,0.70,0.296654,0.421573,    2.37, 0.153, 0.209, 0.220,  1.44,10.0,darkgoldenrod1
