domain,problem,heuristic,recursionLevel,searchTimeM,planLengthM,expandedStatesM,expandedStatesGlobalM,expandedStatesLocalM,searchMessagesM,heuristicRequestMessagesM,heuristicReplyMessagesM,totalMessagesM,globalSearchTimeM,localSearchTimeM,globalHeuristicTimeM,localHeuristicTimeM,otherHeuristicTimeM,domainShort,problemShort,ratioLE,ratioGE,ratioGL,ratioLG,heurTimePerStateL,heurTimePerStateG,heurTimePerStateGO,heurRatio,plotchar,color
benchmarks/openstacks,benchmarks/openstacks/p01.pddl,PPsaFF-glcl,-1,     97.7, 18.7,    282.0,   106.7,    175.4,    196.6,    105.7,    105.7,    408.0,   3.43,    6.6,    44.6,     66.3,    1.7,openstacks,openstacks/p01.pddl,0.62,0.378369,0.608324,    1.64, 0.378, 0.418, 0.434,  1.15, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p02.pddl,PPsaFF-glcl,-1,     98.4, 19.3,    289.0,   109.6,    179.6,    199.0,    108.4,    108.7,    416.1,   3.29,    8.0,    46.9,     62.3,    1.7,openstacks,openstacks/p02.pddl,0.62,0.379239,0.610245,    1.64, 0.347, 0.428, 0.443,  1.28, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p03.pddl,PPsaFF-glcl,-1,     94.1, 19.3,    264.4,    95.9,    168.9,    180.6,     95.6,     95.6,    371.7,   2.14,    6.6,    45.7,     66.3,    1.6,openstacks,openstacks/p03.pddl,0.64,0.362708,0.567792,    1.76, 0.393, 0.477, 0.493,  1.26, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p04.pddl,PPsaFF-glcl,-1,    373.0, 35.6,    782.4,   291.1,    491.4,    584.7,    290.0,    289.9,   1164.6,   6.71,   17.3,   174.4,    286.0,    3.7,openstacks,openstacks/p04.pddl,0.63,0.372060,0.592389,    1.69, 0.582, 0.599, 0.612,  1.05, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p05.pddl,PPsaFF-glcl,-1,    358.1, 35.4,    690.0,   266.1,    424.0,    517.1,    264.1,    264.4,   1045.7,   7.00,   12.7,   177.0,    272.6,    3.6,openstacks,openstacks/p05.pddl,0.61,0.385652,0.627594,    1.59, 0.643, 0.665, 0.679,  1.06, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p06.pddl,PPsaFF-glcl,-1,  16974.1, 37.3, 330240.4,180380.7, 149900.0, 182937.9, 171609.6, 171543.6, 526091.0, 783.57, 1182.6,  8426.6,   6785.1,  649.0,openstacks,openstacks/p06.pddl,0.45,0.546210,1.203340,    0.83, 0.045, 0.047, 0.050,  1.11, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p07.pddl,PPsaFF-glcl,-1, 108670.7, 55.7,1325167.6,725914.6, 599315.9, 728678.9, 656379.4, 656348.0,2041406.3,3726.43, 4635.6, 59392.1,  51607.4, 4273.0,openstacks,openstacks/p07.pddl,0.45,0.547791,1.211239,    0.83, 0.086, 0.082, 0.088,  1.02, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p08.pddl,PPsaFF-glcl,-1,  37229.2, 55.8, 454400.0,277154.2, 177269.7, 249671.3, 203061.8, 203066.2, 655799.3,1323.17, 2357.3, 23587.2,  16448.2, 1185.2,openstacks,openstacks/p08.pddl,0.39,0.609934,1.563461,    0.64, 0.093, 0.085, 0.089,  0.96, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p09.pddl,PPsaFF-glcl,-1, 129791.6, 56.0,1615910.0,904383.0, 711620.7, 866858.4, 792982.3, 792827.6,2452668.3,5090.00, 5810.0, 73740.1,  60638.9, 5069.6,openstacks,openstacks/p09.pddl,0.44,0.559674,1.270878,    0.79, 0.085, 0.082, 0.087,  1.02, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p10.pddl,PPsaFF-glcl,-1,    648.0, 79.0,   1864.0,   470.5,   1394.0,   1540.0,    470.0,    470.5,   2480.5,   2.50,   26.0,   250.5,    633.5,    7.5,openstacks,openstacks/p10.pddl,0.75,0.252414,0.337518,    2.96, 0.454, 0.532, 0.548,  1.21, 6.0,lightblue
